# Resultados do Algoritmo Genético
# Sistema: IEEE 13 bus
# Data/Hora: 2025-11-27 02:50:54
# Parâmetros: NG=150, NP=600, NREP=50

cromossomos,fobs
"[189.91485135010097, -38.69701978051305, -114.84450109353234, -73.61707249050268, 149.7668176161517, 34.39677832220315, 34.351668390016826, -23.863658513310977, 198.1516332947334, 26.42239909911849, 114.5954285851662, 17.863564533638527, 196.40977474866332, 233.64824382913005, 272.8407447139219, 66.87969073822336, 102.2637745244878, -16.83583166515473, 181.8651879451656, 329.6872561759852, 188.7685990633443, 133.0661962655501, 71.04541324045866, 109.0901674841486, 220.6355685821969, 38.63924600280484, -23.09985164549462, -14.883137568460143, -9.251445280155563, 38.05504453451619, -79.94374156891773, -65.83330700493693, 9.174766419968813, -34.58889459018108, -21.710841993939884, -197.67389209135737, 1.9488163703845367, 4.80313068913127, 12.235832512198819, 1.6045688002172673, -73.60813118079702, 1.2698719871215025, -10.342110946536838, -37.44955445225206, -186.5088662975889, -27.261642758365376, 27.564892498101475, -32.581446517081375, 197.0353508409348, 16.29013045884731, 47.9530973826548, 41.55449928163321, -24.498319500040118, 55.77385667203052, -115.336519457569, -274.1305137397457, -91.57207427273708, -147.86643571381, -114.70847752832559, -177.75457343971019, -77.36531331156046, -31.416906149573546, 5.202437302821236, -92.10090709421367, -93.44232131580839, -285.47807575207344, -176.89110562502347, -100.13698732352545, -171.62618422271632, -154.9249355965588, -195.31860802609916, -9.990496004333261, 7.0]",1.7012454239698775
"[178.7812645881764, 17.14213616918245, -52.73891510616106, 97.39340040986994, 57.51296874253537, -45.67187258250606, -43.923972523021156, 33.55548284601101, 314.2468331591983, -3.183126319574834, 67.5847240228611, 27.135070572136833, 19.549522605629093, 329.7262961627302, 1015.836105728701, 45.610776009677444, 1334.9798040694955, 982.9035493189264, 414.70077226256717, 477.6422416952807, 921.9662770893588, 410.2579122700804, -76.05124103280285, 16.497400689374434, 214.2108942124679, -2.719930266117507, -26.41470814198277, -50.239628822136176, 109.07426469770549, -156.85722023276514, 82.36586946618789, -34.59117241945627, -77.33193478233255, 37.61692037653084, 55.014330315896146, 6.633307342700836, -188.60624067976713, -3.580220167822417, 1.5326541869576054, -18.491608292414064, -79.90273451702262, -137.74557026661668, -248.5885834880883, -464.93848526086276, -18.71305129223666, 2.695428041461884, 42.44884839381713, 100.19596701943898, 151.2694991053001, 75.93060588344595, -29.608765846230423, -16.01025477997608, 62.25933227875361, -54.91795393379334, -73.25809317789283, 579.8226054842519, -74.6306198085464, 114.84564276326495, 17.67843906053597, -128.79921052931658, 1283.6407924210794, -115.12775383017339, 47.858504332603154, 82.01219194239364, -39.458489837490035, -22.372804602356922, 1936.5349229573244, 979.522829153539, 619.990496324731, 509.3911309835803, 140.6271695653362, -92.22082651350748, 2.0]",2.4995321318127552
"[135.27348952966074, -45.70875151742376, -75.67244118408702, 109.64051831513956, 59.20321485509285, 143.06625528102725, 87.1102662035236, 125.39697971368939, 177.63195003457963, 41.34169601368261, -3.07231965659492, 126.3641396362565, 205.18040840729225, 108.79872146255991, 77.39906463572059, 126.56704217388896, 98.89212079940657, 127.15722474519401, 191.6720121894256, 503.2658493772861, 194.18307081102978, 182.7353510081307, 210.171351385424, 24.880688080652334, 120.31944533919966, -6.401644908435688, -0.24612153598068956, 101.10267881207172, 144.0454883763019, -17.22163385791013, -63.12021400150789, -160.4780851150852, -122.15415887481693, -74.61618555312818, 57.366740809294086, -6.161597097004668, -132.98443645679058, -185.9048840981218, 56.96181482391268, 42.092409580006404, 5.235953817572411, -9.964604623833948, -119.08564084672487, -53.771206416321284, -231.01847658381894, 6.928199360378272, 6.748275045803217, -8.574415981856054, 270.2139524217314, -2.578709069685444, -11.387462581599003, -5.870100976071782, 108.28637091680505, 22.419896368303732, -22.271833838818367, -39.86285436602341, -18.76624522418483, 8.91165924023833, 39.954898842905, -92.5903815056518, -119.09122479088423, -103.55944248651072, -58.131456807872524, 21.839162441903234, -74.6476560274085, -150.17642505545825, -263.073053502909, -73.83711412594533, -219.9926204869767, -226.87568717499065, -88.31130743321742, 44.60069061477465, 3.0]",2.1954998006059747
"[215.90217298493573, -30.3008115060837, 164.45698406998704, 84.41133683101789, 188.50872497258501, 122.60724891942438, 57.078371349041525, 417.2975817421495, 287.3714890555899, 420.0552503154822, 98.14639600680296, 102.61253150924573, 243.93776350832198, 96.1324337079701, 13.677877066575311, 170.60507108018038, 69.97796094638147, 48.56571265050427, 114.83984518307935, 453.5767369668821, 376.13605159595187, 299.6987983389015, 83.51579795099288, 213.50193064626444, 159.17415975705495, -105.79569695239098, -31.910208142145166, -189.52461933084564, 100.85648587531206, -13.213852511246317, -98.01936037056967, -51.17921895229716, -86.592085545772, 56.42495532700311, 3.742226340196411, -50.40571497318752, -42.12132833070055, -27.873243333660913, -48.427245815652775, -212.08000893569746, -69.17874522108606, -38.13544098525558, -64.70083541646933, -49.73457080864664, -97.65467571050156, -17.187696692553477, -43.41626084086324, -9.159798645036359, 202.44737733302998, -71.90008051748539, -1.3621824708523205, 180.20789939393774, 62.20352609589204, 62.90623277225467, 13.98354123858293, -36.92438858136087, -121.00440186855646, -31.388391759093196, -37.55734538717506, -55.79054691172535, -89.04874500650459, -114.82537775668277, -86.50238709308644, -19.92408024522414, -77.52927633878134, -223.1174563636448, -409.5836655720855, -92.42087518346594, -208.26986206146358, -59.7630697502853, -123.88319595203066, -46.8458774346096, 3.0]",2.210766010207863
"[197.69127702383605, 16.903765575309873, -55.201802083354, -96.17264346755776, 133.48098530538044, -15.008513565178, 23.209198787558805, 72.07608397510741, -131.84636217659065, 154.12684041390028, 100.16127108690004, 174.79011242109337, 87.45271266519633, -0.5189971051967877, -17.498743265087732, 62.090915419772024, 160.01939817196123, 130.61977025277375, 632.4282853615225, 490.30952157727444, 148.540703018754, 163.77678542241227, 160.19116921947776, -2.3542231536327827, 148.8186615131705, -15.035836067389335, -55.77182649055562, -28.429247264295846, 72.9369921245798, 76.826868188249, -77.59913651358384, -358.9757161794674, -114.1220967884771, -27.92182307282191, 22.420723464068796, 140.0303110913695, -33.600732098392484, -5.036460709394874, 145.86248267857798, -11.062917671699822, 15.238152721002795, -96.08722329993338, -14.503172200285912, -86.97441039186616, -8.69394880690725, -63.13733049014817, 13.618765937319742, 13.402511390704657, 114.8071249308662, 20.306831701831133, -47.72300373059486, -47.65525090718279, -74.99829864387921, 91.01302564969416, 0.010409022724390302, -56.23407302402855, -130.821780565663, 61.27970550802187, -85.4026424041908, -6.826645332151114, -30.810433655392494, -11.579369171971262, -122.33999456121796, -38.44948533768115, 26.112151497485158, -82.62017295511389, -134.97522036609573, 61.28790640772232, 24.19794869473268, -37.44600836757401, 13.385946772817386, -55.95058315436704, 5.0]",2.659964774938131
"[185.63598482677395, 28.759729683415202, -111.42647571681333, 14.811219315651929, 95.58038504177685, -134.532298200511, -66.96347184263345, 28.85096912964454, -5.796766259216337, -25.8516626727945, 70.45095834384594, 46.4665322432893, 168.37561207447288, 106.29714119302777, 151.9822002221901, -9.96328500330265, 179.57534586618732, 50.18673833418226, 529.7775973721423, 200.13981767266884, 109.91033690852416, -22.616603211736972, -43.01188817586968, 31.568033014106145, 144.74109913536728, 130.58976469754742, 44.151164372132634, 99.01638838136545, -96.8568707403857, -56.358029519703514, -11.209345548610436, 9.88723751854008, 22.784722295509525, 47.20347404796084, 126.94210021779273, 3.1165152451825153, 0.6881764233934086, -81.77136940767643, -16.017424826379205, -63.417157473064044, 18.35959849725238, -39.84664004268234, -118.81235220282032, -230.942259291382, -128.83431367511446, -42.868336084342936, -1.4792490780190077, 146.4297494517394, 134.99067889990692, 210.39171763751153, -75.47255492122206, 104.98692305430195, -19.41066574089918, -44.37367551365948, -123.41690894693173, -27.33904919270913, -176.9788408991173, -67.72857216058864, -71.97629023747844, 21.25946230115188, 40.74337495916515, -41.738256210758486, -26.040736306561623, -69.99440470410185, 6.860876731146505, -25.55835238480223, -53.56646164234834, -73.45910705749012, -205.75345972759402, -61.94914979667556, -9.675343082249086, -21.980987320646523, 5.0]",2.5096995065128587
"[132.1345912877152, 40.109432614379216, 66.57649180415356, 70.10321716430148, 66.05022745764633, 0.31552988509067736, -3.920358464392651, 181.6018077288926, 249.9534825146179, 55.27456989542789, -13.580650763200506, 245.40547771947726, 357.5583254412568, 175.13440908006854, 36.18368012762423, 77.65634190390023, 154.20867728729604, 217.888436623686, 671.8981953418553, 418.65396308747034, 321.96641192796426, 368.4164547858646, 202.21437205902183, 248.90588860781187, 192.44203493734912, 203.3327781714444, 111.57171989907111, 382.60479812093746, 252.79316708029765, 98.91921086071189, -67.492846859519, -72.5721849575699, -142.77621655194793, -79.11686670375998, -9.27300101334988, -6.865494102735059, 8.9531334224847, -62.5212041680588, -33.551568081833985, -48.02470620609765, -99.91282033139906, 39.957541646232436, 4.296152775447694, -89.60924426840731, -489.92482404713587, -49.797378276352916, -22.82081668145704, -9.666495398710108, 294.173961060372, 11.208709738893107, -143.38180082248851, 82.70746625916738, -18.08620313234008, 8.476357076133523, -18.459502419332694, -118.36714473714358, -151.46485223232864, -46.98603556778031, -29.189396202803632, -253.40873409061905, -101.53235582639418, -149.35577862809217, -182.21681564112006, -110.05267659375687, -123.0447761515548, -180.83385870632105, -222.61602418985638, -221.4021076180103, -192.64215461013941, -111.80424970146014, 4.439304805385844, 80.07902514994393, 3.0]",1.970640044430516
"[262.56187228744477, 10.042075227238966, 19.17991561472035, -30.306411842098218, 41.425055980403144, -12.636329648666836, 53.255861046698065, 62.45375779469245, 153.50805756796296, 39.02834872465497, 128.38073587336254, 215.2749829983238, 216.0348827700198, 104.19296149561454, 54.76198933024204, 51.84631082920396, 116.6222160617145, 209.4398475156947, 236.6508504412226, 318.34602510626667, 116.55368297332706, 169.64348375680356, 66.72751104918969, 170.16391955069432, 213.67680824451952, 42.485756771646436, -87.07883962735713, 10.013019044177927, -73.96168749445454, -143.9073525107927, -42.01743467900981, -46.56299255464363, -37.384172947893504, -38.68934645243448, 0.9650871938308881, 32.97169156294834, -6.3579504469926125, 24.82198480129072, -78.60571311647396, 20.875836698417793, 28.37056242221949, 46.18618353355791, -82.00423511779366, -48.06579833228229, -104.74315778031158, -49.1307507458792, -60.04620463289444, -14.321965405945843, 251.33756327571254, 35.50787499563683, -77.66786341322683, 40.560036887680845, 32.165763243085394, -25.119850280368055, -148.95224314392567, -246.07870868743146, -137.10415983165439, -156.5552369803692, -50.00771389663334, -112.82185076126922, -78.88431460720913, -140.95313239124064, -123.4602196599335, -130.29427084436372, -121.19408101967784, -82.86984381635457, -113.62778122663428, -115.69330260268765, -199.49415728209738, -130.78910779744865, -164.31805763316189, -2.5880815374775703, 7.0]",1.631742981800276
"[212.21597628790192, -18.210948482788325, 31.229705257383127, 583.7058007375095, 59.977254014532136, -46.66866559785567, -79.48351012729077, 48.94641292484098, 91.1231126956392, 22.0966320478743, 11.461714393285742, 17.536393079700787, 399.7151750908838, -53.60052535560716, 17.859584112774282, 47.10774009689784, 3.3156576730254272, 55.34872410829379, 971.0347444783514, 1191.4978845073304, 464.8834588477514, 216.26168519606586, -47.529507687544324, 50.64316174412021, 211.64277881429356, 37.412076093849926, -95.53319930681646, -23.67512843415249, 17.609070640594712, 87.34850278742438, 111.34543581563575, -89.4904527500577, -233.9948474334318, -2.7425335354416003, -27.79925045045454, -7.623365755509504, -37.201134264766665, -27.62288048498852, -61.55432099619656, -36.727115855592025, 15.082596925085532, -105.34253732744885, -241.88753363479705, -704.258459573475, -282.4801354797991, -91.10602888805178, -1.385140112802332, 11.794835850356783, 147.28134595222372, -19.620886758130226, -50.45666404419816, -90.48472061148091, 8.02294073464182, -36.415155953830364, 123.8048509513157, 34.13072956636206, 3.81433886841615, 1.1608941417114842, -27.495164571749996, -30.17686518458648, 313.90267324218155, -43.197950945511245, 57.54151832416408, -46.64343289733913, -1.7865561678120128, 942.6964388983789, 127.12014251507586, 631.5079125554543, 113.47767510766889, -28.50995871119581, 87.18591230460903, 79.38686273383085, 2.0]",2.68863241596387
"[174.27534503403317, -167.6157196793765, 5.572452949461288, 87.65556807561467, -50.47457019459834, 20.126661024617658, 103.33310293474229, -17.91468375377871, 46.136162159869876, -64.84207642326652, -148.5478643377164, 75.81615384159365, 187.9575918732668, 119.94656381879643, 45.3062151474492, 101.30498650463717, 258.92064437321216, 7.9513597916793195, 688.6483831666434, 181.54585332501577, 196.8208689592324, 110.28492372266525, -6.624843424907734, 183.05696825213795, 291.2026354796238, 19.253389144520764, 279.5081051062033, -36.76277962942341, 82.47171522956938, -20.187717499126585, -63.915612739696215, 19.54305963171313, -112.0093624457982, 61.892237000558076, 75.00736249267605, 18.501554380457115, -23.11658642082705, 35.163529198025415, 47.09871162202115, -324.1948147489444, 26.080714381120195, -59.879784360182256, -277.83199159363136, -244.20880358572902, -152.13889716557142, -16.005622500185957, 12.43706436721245, -36.22994342277555, 275.59040788506456, -310.6339467786425, -20.152821611470905, 108.65169496463895, 70.69495776625834, 64.92645289921748, -131.7510080306632, -48.49654207912893, -40.766695551254834, 63.70798329911188, 4.0127757318639015, -40.61631729431224, -34.86902670725782, -20.564287444953056, -3.5190155096692544, -32.82838779792721, 53.84139425736431, -115.61139122450734, -6.421652886184391, -70.44342271128772, 2.9023108094364707, -35.04065465576234, -115.13650687008207, 10.900255326562114, 3.0]",2.683659305246134
